1	0.000	18	66.134	125.934
2	0.068	7	149.056	95.511
3	0.559	6	169.465	127.757
4	0.625	14	153.108	134.311
5	1.345	2	85.054	112.272
6	1.588	4	2.987	121.186
7	2.729	11	19.657	109.458
8	2.978	4	99.602	139.454
9	3.898	18	352.212	117.244
10	9.230	5	165.097	129.638
11	10.600	17	139.801	130.650
12	10.750	12	56.706	123.321
13	11.935	8	83.672	112.938
14	14.193	5	49.256	103.517
15	15.864	13	302.653	117.068
16	16.732	20	21.356	119.633
17	16.864	8	67.598	111.673
18	17.765	3	115.432	118.754
19	19.420	20	9.102	115.896
20	24.137	5	52.640	125.770
21	24.606	13	55.316	110.853
22	24.974	12	802.572	95.320
23	28.926	15	183.754	128.990
24	29.579	13	129.124	107.173
25	31.438	6	30.392	108.416
26	33.068	20	67.044	119.839
27	33.977	1	163.531	113.482
28	35.230	12	14.206	108.432
29	35.389	4	45.559	124.216
30	36.167	15	92.829	110.795
31	36.959	17	10.811	109.784
32	38.262	4	169.568	126.385
33	38.779	7	383.661	113.374
34	39.568	3	239.854	127.198
35	41.065	10	65.075	122.366
36	41.793	13	109.588	118.711
37	43.606	4	83.457	125.856
38	47.856	14	125.639	118.174
39	48.103	2	42.515	123.758
40	51.293	16	165.748	123.372
41	51.737	14	274.805	116.629
42	52.886	5	131.730	137.469
43	52.889	3	19.134	117.988
44	53.695	16	109.284	127.937
45	54.765	5	3.560	135.669
46	55.984	7	121.858	116.272
47	58.159	2	96.422	119.148
48	60.182	6	47.210	119.585
49	61.804	10	95.385	136.704
50	62.000	3	168.014	124.011
51	63.931	3	149.257	101.347
52	63.974	4	9.217	129.558
53	65.645	6	1.420	123.546
54	67.022	4	312.320	115.943
55	68.499	3	114.468	122.108
56	68.997	14	65.406	125.299
57	69.679	6	109.703	121.301
58	70.065	17	32.353	105.282
59	70.379	20	206.004	123.792
60	72.528	17	8.797	115.783
61	72.686	10	128.815	134.899
62	72.834	20	79.272	110.840
63	72.922	3	38.276	122.385
64	74.735	18	175.203	112.175
65	75.772	20	205.571	105.135
66	77.694	4	85.157	121.329
67	79.116	19	247.192	112.780
68	80.014	11	22.573	104.585
69	81.365	4	492.051	130.980
70	81.638	13	40.823	128.766
71	83.258	5	1.200	112.876
72	83.833	14	117.437	133.403
73	84.442	14	53.543	112.261
74	85.498	11	6.508	107.011
75	85.962	19	0.655	119.652
76	91.507	18	13.863	120.460
77	92.539	11	13.855	126.058
78	92.554	2	165.612	117.335
79	92.586	14	26.778	131.106
80	93.563	10	86.068	130.481
81	98.040	2	66.239	131.538
